# ts	v	v_base	v_vis	v_occ	v_lkg	cap_visible	cap_occl	final
1208.008	30.807	4.474	4.491	70.000	4.491	4.474	70.000	4.474
1208.060	30.752	4.466	4.474	70.000	4.474	4.466	70.000	4.466
1208.110	30.718	4.446	4.466	70.000	4.466	4.446	70.000	4.446
1208.161	30.677	4.441	4.446	70.000	4.446	4.441	70.000	4.441
1208.211	30.629	4.401	4.441	70.000	4.441	4.401	70.000	4.401
1208.256	30.599	4.362	4.401	70.000	4.401	4.362	70.000	4.362
1208.309	30.564	4.323	4.362	70.000	4.362	4.323	70.000	4.323
1208.360	30.523	4.258	4.323	70.000	4.323	4.258	70.000	4.258
1208.410	30.485	4.210	4.258	70.000	4.258	4.210	70.000	4.210
1208.460	30.436	4.172	4.210	70.000	4.210	4.172	70.000	4.172
1208.511	30.401	4.147	4.172	70.000	4.172	4.147	70.000	4.147
1208.560	30.356	4.153	4.147	70.000	4.147	4.153	70.000	4.153
1208.611	30.309	4.146	4.153	70.000	4.153	4.146	70.000	4.146
1208.660	30.259	4.137	4.146	70.000	4.146	4.137	70.000	4.137
1208.710	30.183	4.136	4.137	70.000	4.137	4.136	70.000	4.136
1208.760	30.147	4.141	4.136	70.000	4.136	4.141	70.000	4.141
1208.806	30.096	4.138	4.141	70.000	4.141	4.138	70.000	4.138
1208.860	30.059	4.153	4.138	70.000	4.138	4.153	70.000	4.153
1208.906	30.008	4.159	4.153	70.000	4.153	4.159	70.000	4.159
1208.960	29.965	4.183	4.159	70.000	4.159	4.183	70.000	4.183
1209.010	29.929	4.189	4.183	70.000	4.183	4.189	70.000	4.189
1209.062	29.887	4.185	4.189	70.000	4.189	4.185	70.000	4.185
1209.108	29.845	4.202	4.185	70.000	4.185	4.202	70.000	4.202
1209.160	29.846	4.210	4.202	70.000	4.202	4.210	70.000	4.210
1209.208	29.846	4.211	4.210	70.000	4.210	4.211	70.000	4.211
1209.259	29.857	4.203	4.211	70.000	4.211	4.203	70.000	4.203
1209.310	29.881	4.187	4.203	70.000	4.203	4.187	70.000	4.187
1209.360	29.901	4.173	4.187	70.000	4.187	4.173	70.000	4.173
1209.410	29.926	4.168	4.173	70.000	4.173	4.168	70.000	4.168
1209.460	29.948	4.170	4.168	70.000	4.168	4.170	70.000	4.170
1209.506	29.961	4.177	4.170	70.000	4.170	4.177	70.000	4.177
1209.560	29.970	4.199	4.177	70.000	4.177	4.199	70.000	4.199
1209.606	29.988	4.221	4.199	70.000	4.199	4.221	70.000	4.221
1209.661	30.000	4.234	4.221	70.000	4.221	4.234	70.000	4.234
1209.711	30.024	4.222	4.234	70.000	4.234	4.222	70.000	4.222
1209.759	30.053	4.227	4.222	70.000	4.222	4.227	70.000	4.227
1209.809	30.062	4.191	4.227	70.000	4.227	4.191	70.000	4.191
1209.860	30.087	4.201	4.191	70.000	4.191	4.201	70.000	4.201
1209.910	30.108	4.182	4.201	70.000	4.201	4.182	70.000	4.182
1209.956	30.121	4.205	4.182	70.000	4.182	4.205	70.000	4.205
1210.009	30.149	4.235	4.205	70.000	4.205	4.235	70.000	4.235
1210.054	30.176	4.273	4.235	70.000	4.235	4.273	70.000	4.273
1210.110	30.194	4.301	4.273	70.000	4.273	4.301	70.000	4.301
1210.161	30.231	4.325	4.301	70.000	4.301	4.325	70.000	4.325
1210.210	30.263	4.344	4.325	70.000	4.325	4.344	70.000	4.344
1210.261	30.291	4.354	4.344	70.000	4.344	4.354	70.000	4.354
1210.308	30.295	4.371	4.354	70.000	4.354	4.371	70.000	4.371
1210.360	30.317	4.394	4.371	70.000	4.371	4.394	70.000	4.394
1210.408	30.351	4.405	4.394	70.000	4.394	4.405	70.000	4.405
1210.461	30.386	4.432	4.405	70.000	4.405	4.432	70.000	4.432
1210.510	30.438	4.454	4.432	70.000	4.432	4.454	70.000	4.454
1210.560	30.500	4.469	4.454	70.000	4.454	4.469	70.000	4.469
1210.610	30.518	4.487	4.469	70.000	4.469	4.487	70.000	4.487
1210.661	30.556	4.494	4.487	70.000	4.487	4.494	70.000	4.494
1210.710	30.580	4.525	4.494	70.000	4.494	4.525	70.000	4.525
1210.760	30.622	4.551	4.525	70.000	4.525	4.551	70.000	4.551
1210.810	30.657	4.560	4.551	70.000	4.551	4.560	70.000	4.560
1210.860	30.671	4.594	4.560	70.000	4.560	4.594	70.000	4.594
1210.910	30.705	4.615	4.594	70.000	4.594	4.615	70.000	4.615
1210.960	30.756	4.622	4.615	70.000	4.615	4.622	70.000	4.622
1211.006	30.758	4.637	4.622	70.000	4.622	4.637	70.000	4.637
1211.060	30.764	4.679	4.637	70.000	4.637	4.679	70.000	4.679
1211.107	30.823	4.732	4.679	70.000	4.679	4.732	70.000	4.732
1211.161	30.853	4.787	4.732	70.000	4.732	4.787	70.000	4.787
1211.209	30.869	4.831	4.787	70.000	4.787	4.831	70.000	4.831
1211.262	30.894	4.876	4.831	70.000	4.831	4.876	70.000	4.876
1211.310	30.920	4.894	4.876	70.000	4.876	4.894	70.000	4.894
1211.356	30.956	4.895	4.894	70.000	4.894	4.895	70.000	4.895
1211.404	30.994	4.917	4.895	70.000	4.895	4.917	70.000	4.917
1211.462	31.041	4.940	4.917	70.000	4.917	4.940	70.000	4.940
1211.510	31.067	4.975	4.940	70.000	4.940	4.975	70.000	4.975
1211.560	31.108	4.908	4.975	70.000	4.975	4.908	70.000	4.908
1211.607	31.141	4.845	4.908	70.000	4.908	4.845	70.000	4.845
1211.660	31.189	4.825	4.845	70.000	4.845	4.825	70.000	4.825
1211.710	31.196	4.835	4.825	70.000	4.825	4.835	70.000	4.835
1211.760	31.202	4.869	4.835	70.000	4.835	4.869	70.000	4.869
1211.807	31.199	4.902	4.869	70.000	4.869	4.902	70.000	4.902
1211.860	31.199	4.929	4.902	70.000	4.902	4.929	70.000	4.929
1211.910	31.195	4.931	4.929	70.000	4.929	4.931	70.000	4.931
1211.961	31.180	4.918	4.931	70.000	4.931	4.918	70.000	4.918
1212.007	31.171	4.918	4.918	70.000	4.918	4.918	70.000	4.918
1212.060	31.182	4.949	4.918	70.000	4.918	4.949	70.000	4.949
1212.110	31.185	4.939	4.949	70.000	4.949	4.939	70.000	4.939
1212.157	31.187	4.891	4.939	70.000	4.939	4.891	70.000	4.891
1212.209	31.207	4.863	4.891	70.000	4.891	4.863	70.000	4.863
1212.264	31.220	4.863	4.863	70.000	4.863	4.863	70.000	4.863
1212.306	31.237	4.867	4.863	70.000	4.863	4.867	70.000	4.867
1212.360	31.256	4.882	4.867	70.000	4.867	4.882	70.000	4.882
1212.410	31.286	4.931	4.882	70.000	4.882	4.931	70.000	4.931
