# flagged-only | window: 2025-09-05_004324UTC -> 2025-09-05_014324UTC | files=16
2025-09-05_004549UTC | 00000085--f247b281ca--68 | [rlog] v=29.4 base=4.9 raw=4.9 final=4.9 | cap=occlusion vis=4.9 occ=4.5 | v_vis=4.6 v_occ=4.5 conf=0.6 psi=3.8/0.4 reason=pretrigger tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004556UTC | 00000085--f247b281ca--69 | [rlog] v=28.8 base=4.7 raw=4.7 final=4.7 | cap=occlusion vis=4.7 occ=4.5 | v_vis=4.6 v_occ=4.5 conf=0.7 psi=3.7/0.4 reason=pretrigger tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004556UTC | 00000085--f247b281ca--69 | [rlog] v=28.9 base=4.7 raw=4.8 final=4.8 | cap=occlusion vis=4.7 occ=4.5 | v_vis=4.6 v_occ=4.5 conf=0.6 psi=3.7/0.4 reason=pretrigger tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004557UTC | 00000085--f247b281ca--69 | [rlog] v=29.0 base=4.9 raw=4.9 final=4.9 | cap=occlusion vis=4.9 occ=4.5 | v_vis=4.6 v_occ=4.5 conf=0.5 psi=3.8/0.4 reason=pretrigger tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004602UTC | 00000085--f247b281ca--69 | [rlog] v=27.8 base=7.7 raw=8.4 final=8.4 | cap=visible vis=7.7 occ=70.0 | v_vis=8.8 v_occ=70.0 conf=0.8 psi=1.0/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004603UTC | 00000085--f247b281ca--69 | [rlog] v=27.9 base=6.2 raw=6.8 final=6.8 | cap=visible vis=6.2 occ=70.0 | v_vis=6.2 v_occ=70.0 conf=0.7 psi=2.0/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004634UTC | 00000085--f247b281ca--69 | [rlog] v=31.9 base=5.5 raw=5.7 final=5.7 | cap=visible vis=5.5 occ=21.3 | v_vis=10.7 v_occ=21.3 conf=0.7 psi=0.8/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004639UTC | 00000085--f247b281ca--69 | [rlog] v=30.9 base=5.5 raw=5.5 final=5.5 | cap=occlusion vis=5.5 occ=5.3 | v_vis=5.4 v_occ=5.3 conf=0.6 psi=2.9/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004639UTC | 00000085--f247b281ca--69 | [rlog] v=31.0 base=5.3 raw=5.3 final=5.3 | cap=occlusion vis=5.3 occ=5.2 | v_vis=5.4 v_occ=5.2 conf=0.6 psi=2.9/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004641UTC | 00000085--f247b281ca--69 | [rlog] v=31.2 base=5.4 raw=5.4 final=5.4 | cap=occlusion vis=5.4 occ=5.2 | v_vis=5.4 v_occ=5.2 conf=0.6 psi=2.9/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004704UTC | 00000085--f247b281ca--70 | [rlog] v=28.8 base=4.6 raw=4.6 final=4.6 | cap=occlusion vis=4.6 occ=4.2 | v_vis=4.2 v_occ=4.2 conf=0.6 psi=4.5/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004738UTC | 00000085--f247b281ca--70 | [rlog] v=26.2 base=5.4 raw=5.4 final=5.4 | cap=occlusion vis=5.4 occ=5.2 | v_vis=5.4 v_occ=5.2 conf=0.7 psi=2.5/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004802UTC | 00000085--f247b281ca--71 | [rlog] v=36.8 base=5.2 raw=5.2 final=5.2 | cap=occlusion vis=5.2 occ=5.1 | v_vis=5.3 v_occ=5.1 conf=0.6 psi=3.7/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004806UTC | 00000085--f247b281ca--71 | [rlog] v=36.4 base=5.2 raw=5.2 final=5.2 | cap=occlusion vis=5.2 occ=5.1 | v_vis=5.3 v_occ=5.1 conf=0.5 psi=3.6/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004815UTC | 00000085--f247b281ca--71 | [rlog] v=36.8 base=8.0 raw=8.0 final=8.0 | cap=occlusion vis=8.0 occ=7.9 | v_vis=8.0 v_occ=7.9 conf=0.6 psi=1.6/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004829UTC | 00000085--f247b281ca--71 | [rlog] v=36.4 base=6.9 raw=6.9 final=6.9 | cap=occlusion vis=6.9 occ=6.7 | v_vis=7.1 v_occ=6.7 conf=0.7 psi=2.0/0.4 reason=pretrigger tail=0.1@0.0 | flags=double_occl_cap_suspect,pretrigger_with_high_conf
2025-09-05_004852UTC | 00000085--f247b281ca--71 | [rlog] v=34.7 base=8.4 raw=8.4 final=8.4 | cap=occlusion vis=8.4 occ=8.3 | v_vis=9.0 v_occ=8.3 conf=0.6 psi=1.2/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004858UTC | 00000085--f247b281ca--72 | [rlog] v=35.5 base=8.5 raw=8.5 final=8.5 | cap=occlusion vis=8.5 occ=8.5 | v_vis=8.5 v_occ=8.5 conf=0.6 psi=1.4/0.4 reason=fov_exit tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004920UTC | 00000085--f247b281ca--72 | [rlog] v=34.6 base=4.4 raw=4.5 final=4.5 | cap=visible vis=4.4 occ=70.0 | v_vis=4.4 v_occ=70.0 conf=0.7 psi=5.0/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004920UTC | 00000085--f247b281ca--72 | [rlog] v=34.7 base=4.4 raw=4.5 final=4.5 | cap=visible vis=4.4 occ=70.0 | v_vis=4.4 v_occ=70.0 conf=0.7 psi=4.9/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004921UTC | 00000085--f247b281ca--72 | [rlog] v=34.8 base=4.6 raw=5.1 final=5.1 | cap=visible vis=4.6 occ=70.0 | v_vis=4.6 v_occ=70.0 conf=0.7 psi=4.5/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004921UTC | 00000085--f247b281ca--72 | [rlog] v=35.0 base=4.7 raw=5.2 final=5.2 | cap=visible vis=4.7 occ=70.0 | v_vis=4.8 v_occ=70.0 conf=0.7 psi=4.2/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_005058UTC | 00000085--f247b281ca--74 | [rlog] v=23.5 base=7.1 raw=7.1 final=7.1 | cap=visible vis=7.1 occ=70.0 | v_vis=7.6 v_occ=70.0 conf=0.8 psi=1.1/0.4 reason=pretrigger tail=0.4@27.3 | flags=pretrigger_with_high_conf
2025-09-05_005059UTC | 00000085--f247b281ca--74 | [rlog] v=23.9 base=6.3 raw=6.3 final=6.3 | cap=visible vis=6.3 occ=70.0 | v_vis=6.2 v_occ=70.0 conf=0.7 psi=1.7/0.4 reason=pretrigger tail=0.4@27.3 | flags=pretrigger_with_high_conf
2025-09-05_005059UTC | 00000085--f247b281ca--74 | [rlog] v=24.4 base=6.0 raw=6.1 final=6.1 | cap=visible vis=6.0 occ=70.0 | v_vis=6.2 v_occ=70.0 conf=0.7 psi=1.8/0.4 reason=pretrigger tail=0.4@27.3 | flags=pretrigger_with_high_conf
2025-09-05_005100UTC | 00000085--f247b281ca--74 | [rlog] v=25.0 base=6.2 raw=6.3 final=6.3 | cap=visible vis=6.2 occ=70.0 | v_vis=6.1 v_occ=70.0 conf=0.7 psi=1.8/0.4 reason=pretrigger tail=0.4@27.3 | flags=pretrigger_with_high_conf
2025-09-05_005100UTC | 00000085--f247b281ca--74 | [rlog] v=25.6 base=6.5 raw=6.7 final=6.7 | cap=visible vis=6.5 occ=70.0 | v_vis=6.2 v_occ=70.0 conf=0.7 psi=1.8/0.4 reason=pretrigger tail=0.4@27.3 | flags=pretrigger_with_high_conf
